ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Dataset	SampleType	Frequency
82f45e34-eebd-44e5-bac6-600b2ff44f09	0	10/31/2019 17:59	user	Hey Cortana cancel.	NOTSURE	notsure_not_judged	Hey Cortana cancel.	[]				342
Teams638649b9-a812-4dca-abf5-cf94c2a9fbc0	0	10/9/2019 9:04	user	Join my next meeting.	CALENDAR	connect_to_meeting	Join my <start_time>next</start_time> meeting.	[]				161
83f29ce9-3e92-4d06-b96b-b0231fd43518	0	10/28/2019 8:39	user	Hello.	NOTSURE	other_domain	Hello.	[]				152
804e0f21-3511-465a-8c9e-fa22b92c2e13	0	10/18/2019 9:54	user	Send a message.	COMMUNICATION	send_text	Send a message.	[]				137
025cc243-d343-4d89-9862-f8eef2dc4306	0	10/22/2019 21:31	user	Join my meeting.	CALENDAR	connect_to_meeting	Join my meeting.	[]				136
Teamsb2fb5118-88f3-4bf3-8712-6051c82bf6e8	0	10/2/2019 23:31	user	What's my next meeting?	CALENDAR	find_calendar_entry	What's my <start_time>next</start_time> meeting?	[]				121
55c43cff-acb7-4bb7-9a5b-f4e309906e12	0	10/29/2019 8:13	user	When is my next meeting?	CALENDAR	find_calendar_when	When is my <start_time>next</start_time> meeting?	[]				106
475e5e60-b447-44f0-9c0a-7eb977655599	0	10/30/2019 16:00	user	What meetings do I have today?	CALENDAR	find_calendar_entry	What meetings do I have <start_date>today</start_date>?	[]				97
4d427426-7cfc-4a60-a8db-3ebf72106e08	0	10/22/2019 16:51	user	Cortana.	NOTSURE	notsure_not_judged	Cortana.	[]				83
a1ed6483-2e48-4183-ae29-569ef00af7a4	0	10/12/2019 6:52	user	Send a message to Paul.	COMMUNICATION	send_text	Send a message to <contact_name>Paul</contact_name>.	[]				80
93277256-018e-47b0-9cd5-9d3d5618d504	0	10/23/2019 21:43	user	Hey Cortana join my meeting.	CALENDAR	connect_to_meeting	Hey Cortana join my meeting.	[]				79
Teamsc9fb59a4-327e-4e15-b57b-2165319a3318	0	10/8/2019 19:54	user	Show me my at mentions.	TEAMSACTION	teamsuser_showactivity	Show me my <teamsuser_activitytype>at mentions</teamsuser_activitytype>.	[]				68
f5eb8b79-efc5-412b-bb82-8d6a64a92909	0	10/30/2019 8:19	user	Read my messages.	COMMUNICATION	query_message	Read my messages.	[]				63
49a42d72-a853-44d2-b66b-cf6a11c06bd8	0	10/28/2019 6:50	user	Help.	COMMON	help	Help.	[]				60
09ad5725-0c59-4a99-9aa5-06f51ffa2d13	0	10/14/2019 6:50	user	Hey Cortana end meeting.	CALENDAR	disconnect_from_meeting	Hey Cortana end meeting.	[]				57
7f41eadd-6029-45fb-9123-789bbc91c0cb	0	10/22/2019 20:03	user	Set my status to busy.	TEAMSACTION	teamsuser_setstatus	Set my status to <teamsuser_status>busy</teamsuser_status>.	[]				56
76ec3c4c-fb0d-4340-aa6d-4c7a9f60c440	0	10/22/2019 17:47	user	What's on my calendar?	CALENDAR	find_calendar_entry	What's on my calendar?	[]				55
c95e87d4-b608-4727-b796-631cb8808f17	0	10/31/2019 2:10	user	Hey Cortana what's my next meeting.	CALENDAR	find_calendar_entry	Hey Cortana what's my <start_time>next</start_time> meeting.	[]				53
bb3105d5-79d5-45cc-a428-9d8a6cd921a3	0	10/30/2019 6:20	user	What do I have today?	CALENDAR	find_calendar_entry	What do I have <start_date>today</start_date>?	[]				52
ca42d029-fbff-4fde-943c-775d0df4f7bb	0	10/24/2019 23:12	user	Hey Cortana end presentation.	INMEETING	stop_presenting	Hey Cortana end presentation.	[]				52
e60cbbd3-c11f-489e-b20f-9d584545e1fc	0	10/29/2019 9:50	user	Make a call.	COMMUNICATION	make_call	Make a call.	[]				51
68903068-7a28-416d-b5c2-afd70d600480	0	10/22/2019 7:25	user	What meetings do I have tomorrow?	CALENDAR	find_calendar_entry	What meetings do I have <start_date>tomorrow</start_date>?	[]				50
cbf8b479-bb4c-4b5f-ae3e-a4746423449a	0	10/12/2019 9:57	user	Show all my calendar.	CALENDAR	navigate_calendar	Show <quantifier>all</quantifier> my calendar.	[]				49
acf6cc9e-cc6f-44e5-a76e-128f5183af92	0	10/24/2019 7:49	user	Hey Cortana send a message.	COMMUNICATION	send_text	Hey Cortana send a message.	[]				48
89926475-d71b-4b18-b02e-aa975158639b	0	10/17/2019 7:26	user	What can you do?	COMMON	help	What can you do?	[]				47
9daf7d0a-68b0-4ee5-93ce-c58be9f4e321	0	10/29/2019 11:07	user	Call sales test.	COMMUNICATION	make_call	Call <contact_name>sales test</contact_name>.	[]				47
3a3e0ec1-470f-4a31-8f4b-08615be83aec	0	10/29/2019 2:55	user	Hey Cortana add Xiaoming to the call.	COMMUNICATION	add_to_call	Hey Cortana add <contact_name>Xiaoming</contact_name> to the call.	[]				45
230ea3c0-aefb-46cc-9c49-b058fb1c8bbd	0	10/14/2019 6:58	user	Who is Jim?	PEOPLE	search_people_by_name	Who is <contact_name>Jim</contact_name>?	[]				45
Teams4cccd50f-4670-4770-af9e-bc4f1ca0ea8d	0	10/10/2019 6:24	user	Hey Cortana, join my meeting.	CALENDAR	connect_to_meeting	Hey Cortana, join my meeting.	[]				44
0eed632d-2a6e-4d8e-9b10-ee74f397ec52	0	10/28/2019 18:32	user	Join the meeting.	CALENDAR	connect_to_meeting	Join the meeting.	[]				43
0a95eeab-bfd8-4f23-84ba-07a1fae6e70e	0	10/30/2019 7:51	user	Show me my activity.	TEAMSACTION	teamsuser_showactivity	Show me my activity.	[]				43
a6138d64-1703-47be-b855-5a9fdd52c6a2	0	10/30/2019 9:59	user	Hey Cortana message Jim.	COMMUNICATION	send_text	Hey Cortana message <contact_name>Jim</contact_name>.	[]				42
a037d27b-316c-4d3e-8aef-a8d3afc9fce5	0	10/21/2019 3:29	user	Open file skills.	FILES	file_open	Open file <file_keyword>skills</file_keyword>.	[]				41
