0	quick note	send_email	EMAIL	quick note						
1	note	send_email	EMAIL	note						
2	send a reminder	send_email	EMAIL	send a reminder						
3	send note	send_email	EMAIL	send note						
4	send reminder	send_email	EMAIL	send reminder						
5	note am running late	send_email	EMAIL	note <message>am running late</message>						
6	quick note I found some better rates and terms with other banks	send_email	EMAIL	quick note <message>I found some better rates and terms with other banks</message>						
7	note I am confirming my appointment at 10:00 o'clock on Saturday	send_email	EMAIL	note <message>I am confirming my appointment at 10:00 o'clock on Saturday</message>						
8	note I found some better rates and terms with other banks	send_email	EMAIL	note <message>I found some better rates and terms with other banks</message>						
9	note Many thanks Many thanks	send_email	EMAIL	note <message>Many thanks Many thanks</message>						
10	note Wow People	send_email	EMAIL	note <message>Wow People</message>						
11	note Please contact me at 6814277223	send_email	EMAIL	note <message>Please contact me at 6814277223</message>						
12	quick note Sorry it didn't workout	send_email	EMAIL	quick note <message>Sorry it didn't workout</message>						
13	note Payment shipment	send_email	EMAIL	note <message>Payment shipment</message>						
14	note Was the order signed yet?	send_email	EMAIL	note <message>Was the order signed yet?</message>						
15	quick note I'm going to do it	send_email	EMAIL	quick note <message>I'm going to do it</message>						
16	note Hey Brian That is great news!	send_email	EMAIL	note <message>Hey Brian That is great news!</message>						
17	quick note Am not doing it	send_email	EMAIL	quick note <message>Am not doing it</message>						
18	quick note Many thanks	send_email	EMAIL	quick note <message>Many thanks</message>						
19	quick note No Shay I'll contact mom again	send_email	EMAIL	quick note <message>No Shay I'll contact mom again</message>						
20	quick note I'm very very interested in the position	send_email	EMAIL	quick note <message>I'm very very interested in the position</message>						
21	quick note Sure I can do it	send_email	EMAIL	quick note <message>Sure I can do it</message>						
22	quick note I'm back at the end of the week	send_email	EMAIL	quick note <message>I'm back at the end of the week</message>						
23	quick note I need help	send_email	EMAIL	quick note <message>I need help</message>						
24	send reminder Update preferences	send_email	EMAIL	send reminder <message>Update preferences</message>						
25	send reminder Missing you Siri baby	send_email	EMAIL	send reminder <message>Missing you Siri baby</message>						
26	send note I'm sorry it next week to follow up on	send_email	EMAIL	send note <message>I'm sorry it next week to follow up on</message>						
27	send a note I'm having to do all of that	send_email	EMAIL	send a note <message>I'm having to do all of that</message>						
28	send reminder Mike is there actually guidelines for what a pass master needs to do in order to get their diploma?	send_email	EMAIL	send reminder <message>Mike is there actually guidelines for what a pass master needs to do in order to get their diploma?</message>						
29	send note That's all for now	send_email	EMAIL	send note <message>That's all for now</message>						
30	send a reminder Cancellation of service no longer needed	send_email	EMAIL	send a reminder <message>Cancellation of service no longer needed</message>						
31	send reminder I've already put the job up	send_email	EMAIL	send reminder <message>I've already put the job up</message>						
32	send a reminder I'll have to check if we have a meeting on Friday	send_email	EMAIL	send a reminder <message>I'll have to check if we have a meeting on Friday</message>						
33	send note I am sorry but you will not be able to come to our site	send_email	EMAIL	send note <message>I am sorry but you will not be able to come to our site</message>						
34	send note Thank you for reaching out but I don't think my background is a match to this request	send_email	EMAIL	send note <message>Thank you for reaching out but I don't think my background is a match to this request</message>						
35	send a reminder We hope she gets better	send_email	EMAIL	send a reminder <message>We hope she gets better</message>						
