ConversationId	MessageId	MessageTimestamp	MessageFrom	MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	MetaData	ConversationContext	Frequency	CortanaResponse
177873297	0		user	xlsx by Ashuthosh Upadhyaya	FILES	file_search	<file_type>xlsx</file_type> by <contact_name>Ashuthosh Upadhyaya</contact_name>	[]		1
177873298	0		user	xls by Upadhyaya about QAS Msw April	FILES	file_search	<file_type>xls</file_type> by <contact_name>Upadhyaya</contact_name> about <file_keyword>QAS Msw April</file_keyword>	[]		1
177873300	0		user	find me the QAS Msw April xls by Upadhyaya	FILES	file_search	find me the <file_keyword>QAS Msw April</file_keyword> <file_type>xls</file_type> by <contact_name>Upadhyaya</contact_name>	[]		1
177873301	0		user	open May April Msw xlsx by Ashuthosh	FILES	file_open	open <file_keyword>May April Msw</file_keyword> <file_type>xlsx</file_type> by <contact_name>Ashuthosh</contact_name>	[]		1
177873302	0		user	Floating Holidays in lieu of Family Days	NOTSURE	notsure_not_judged	Floating Holidays in lieu of Family Days	[]		1
177873303	0		user	XAP cannot execute instance more than once	NOTSURE	notsure_not_judged	XAP cannot execute instance more than once	[]		1
177873305	0		user	why is customer evidence needed?	NOTSURE	notsure_not_judged	why is customer evidence needed?	[]		1
177873306	0		user	open QAS Msw excel	FILES	file_open	open <file_keyword>QAS Msw</file_keyword> <file_type>excel</file_type>	[]		1
177873307	0		user	Duman docx	FILES	file_search	<contact_name>Duman</contact_name> <file_type>docx</file_type>	[]		1
177873308	0		user	document Venkata Suman Yaram shared about LiveSite Answers 3S	FILES	file_search	document <contact_name>Venkata Suman Yaram</contact_name> <file_action>shared</file_action> about <file_keyword>LiveSite Answers 3S</file_keyword>	[]		1
177873309	0		user	who can sell EA	NOTSURE	notsure_not_judged	who can sell EA	[]		1
177873310	0		user	what are Sumit's working hours?	PEOPLE	search_people_attribute	what are <contact_name>Sumit</contact_name>'s <attribute_type>working</attribute_type> <people_attribute>hours</people_attribute>?	[]		1
177873311	0		user	what does MSW stand for?	NOTSURE	notsure_not_judged	what does MSW stand for?	[]		1
177873312	0		user	Yaram Venakta	NOTSURE	notsure_not_judged	Yaram Venakta	[]		1
177873313	0		user	show the QAS Msw file	FILES	file_search	show the <file_keyword>QAS Msw</file_keyword> file	[]		1
177873314	0		user	QAS Msw April xlsx by Ashuthosh Upadhyaya	FILES	file_search	<file_keyword>QAS Msw April</file_keyword> <file_type>xlsx</file_type> by <contact_name>Ashuthosh Upadhyaya</contact_name>	[]		1
177873315	0		user	docx Venkata shared about 3S LiveiSte	FILES	file_search	<file_type>docx</file_type> <contact_name>Venkata</contact_name> <file_action>shared</file_action> about <file_keyword>3S LiveiSte</file_keyword>	[]		1
177873317	0		user	3S Answers LiveSite Venkata	NOTSURE	file_search	<file_keyword>3S Answers LiveSite Venkata</file_keyword>	[]		1
177873319	0		user	find 3S LiveSite doc	FILES	file_search	find <file_keyword>3S LiveSite</file_keyword> <file_type>doc</file_type>	[]		1
177873320	0		user	Suman document	FILES	file_search	<file_keyword>Suman</file_keyword> document	[]		1
177873321	0		user	docx by Yaram Venkata named 3S LiveSite	FILES	file_search	<file_type>docx</file_type> by <contact_name>Yaram Venkata</contact_name> named <file_name>3S LiveSite</file_name>	[]		1
177873322	0		user	xls by Ashuthosh Upadhyaya named May April Msw	FILES	file_search	<file_type>xls</file_type> by <contact_name>Ashuthosh Upadhyaya</contact_name> named <file_name>May April Msw</file_name>	[]		1
177873323	0		user	3S LiveSite Suman	NOTSURE	file_search	<file_keyword>3S LiveSite Suman</file_keyword>	[]		1
177873324	0		user	xlsx by Upadhyaya named QAS Msw April	FILES	file_search	<file_type>xlsx</file_type> by <contact_name>Upadhyaya</contact_name> named <file_name>QAS Msw April</file_name>	[]		1
177873325	0		user	Yaram Venkata's word files shared with me	FILES	file_search	<contact_name>Yaram Venkata</contact_name>'s <file_type>word</file_type> files <file_action>shared</file_action> with <to_contact_name>me</to_contact_name>	[]		1
177873326	0		user	open 3S Answers LiveSite document by Yaram	FILES	file_open	open <file_keyword>3S Answers LiveSite</file_keyword> document by <contact_name>Yaram</contact_name>	[]		1
177873327	0		user	word by Venkata Suman Yaram about 3S LiveSite	FILES	file_search	<file_type>word</file_type> by <contact_name>Venkata Suman Yaram</contact_name> about <file_keyword>3S LiveSite</file_keyword>	[]		1
177873328	0		user	find me the MswAprilMayQAS excel by Ashuthosh Upadhyaya	FILES	file_search	find me the <file_keyword>MswAprilMayQAS</file_keyword> <file_type>excel</file_type> by <contact_name>Ashuthosh Upadhyaya</contact_name>	[]		1
177873329	0		user	can you find the MswAprilMayQAS xls by Ashuthosh	FILES	file_search	can you find the <file_keyword>MswAprilMayQAS</file_keyword> <file_type>xls</file_type> by <contact_name>Ashuthosh</contact_name>	[]		1
177873330	0		user	word Venkata Suman Yaram sent	FILES	file_search	<file_type>word</file_type> <contact_name>Venkata Suman Yaram</contact_name> <file_action>sent</file_action>	[]		1
177873332	0		user	expanda QAS	NOTSURE	file_search	<file_keyword>expanda QAS</file_keyword>	[]		1
